lat;long;order;dialect
8.3400027;56.6976601;190;NV
8.3398311;56.6965291;191;NV
8.3436076;56.6949267;192;NV
8.3466975;56.6934185;193;NV
8.3489291;56.6911562;194;NV
8.353564;56.6869139;195;NV
8.353564;56.684274;196;NV
8.3549373;56.6779563;197;NV
8.3571689;56.6765418;198;NV
8.3600871;56.6763532;199;NV
8.363177;56.6772019;200;NV
8.3781116;56.6754101;201;NV
8.3810298;56.6746556;202;NV
8.3880679;56.6741841;203;NV
8.3942477;56.6719206;204;NV
8.3997409;56.6706001;205;NV
8.4024875;56.6707887;206;NV
8.4096973;56.6691853;207;NV
8.4227435;56.6661668;208;NV
8.4266059;56.6646575;209;NV
8.4314982;56.6611198;210;NV
8.434674;56.6590914;211;NV
8.4399097;56.6555059;212;NV
8.4421413;56.6543265;213;NV
8.4451453;56.6526279;214;NV
8.4495227;56.6520146;215;NV
8.4527843;56.6510237;216;NV
8.4579341;56.6481453;217;NV
8.4626548;56.6447477;218;NV
8.4691779;56.6384706;219;NV
8.4714095;56.6379514;220;NV
8.4757011;56.6375266;221;NV
8.4786193;56.6360161;222;NV
8.4794776;56.635072;223;NV
8.4805934;56.6347888;224;NV
8.4830825;56.6344584;225;NV
8.4853141;56.6322869;226;NV
8.489434;56.6283684;227;NV
8.4922664;56.6278019;228;NV
8.4938113;56.6260549;229;NV
8.4973304;56.621097;230;NV
8.4982745;56.6179802;231;NV
8.4994762;56.6163745;232;NV
8.5020511;56.6108012;233;NV
8.5020511;56.6077781;234;NV
8.5023944;56.6052744;235;NV
8.5059993;56.6029595;236;NV
8.5099475;56.6010224;237;NV
8.511235;56.6002192;238;NV
8.5133807;56.5963919;239;NV
8.514754;56.5913828;240;NV
8.5148398;56.5896814;241;NV
8.516299;56.5889253;242;NV
8.5186164;56.588878;243;NV
8.5205905;56.5881691;244;NV
8.5233371;56.5867984;245;NV
8.5258262;56.5844351;246;NV
8.5277144;56.5826862;247;NV
8.5284869;56.5809844;248;NV
8.5340659;56.5798971;249;NV
8.5374133;56.5792826;250;NV
8.5399882;56.5781007;251;NV
8.5437648;56.5773443;252;NV
8.5480563;56.5770606;253;NV
8.5508029;56.577297;254;NV
8.5530345;56.5775807;255;NV
8.5550086;56.5783371;256;NV
8.5562102;56.5793299;257;NV
8.5550086;56.5801808;258;NV
8.5523479;56.5810317;259;NV
8.5503738;56.5819771;260;NV
8.5468547;56.5832534;261;NV
8.5443656;56.5842933;262;NV
8.5425632;56.5832534;263;NV
8.541104;56.5834425;264;NV
8.5393016;56.5831589;265;NV
8.53707;56.5837734;266;NV
8.5347526;56.5850496;267;NV
8.5322635;56.5857586;268;NV
8.5311477;56.5868929;269;NV
8.5297744;56.5876019;270;NV
8.5291736;56.5894451;271;NV
8.5296886;56.5917136;272;NV
8.5302894;56.5933676;273;NV
8.5317485;56.59436;274;NV
8.5361259;56.597148;275;NV
8.5444514;56.5996522;276;NV
8.5520045;56.6005499;277;NV
8.5609309;56.6005027;278;NV
8.5660808;56.6008334;279;NV
8.5713164;56.6005972;280;NV
8.576123;56.6002664;281;NV
8.5873668;56.6008807;282;NV
8.5890834;56.6014949;283;NV
8.5914867;56.6039043;284;NV
8.5921733;56.6056995;285;NV
8.5926024;56.6086756;286;NV
8.5925166;56.6099038;287;NV
8.59183;56.6115097;288;NV
8.5920016;56.6133046;289;NV
8.5929458;56.6148632;290;NV
8.5932891;56.6162328;291;NV
8.5961215;56.6198692;292;NV
8.5961215;56.6209081;293;NV
8.5968082;56.624119;294;NV
8.5967223;56.6264799;295;NV
